stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"10117","Jordanville Station","-37.87376273","145.11247263","","vic:rail:JOR","1","Level 0","1"
"10920","Flagstaff Station","-37.81187992","144.95604277","","vic:rail:FGS","1","Level -2","1"
"10921","Flagstaff Station","-37.81172541","144.95596751","","vic:rail:FGS","1","Level -2","2"
"10922","Melbourne Central Station","-37.80997342","144.96251307","","vic:rail:MCE","1","Level -2","1"
"10923","Melbourne Central Station","-37.80986514","144.96250469","","vic:rail:MCE","1","Level -2","2"
"10924","Parliament Station","-37.81100921","144.97292350","","vic:rail:PAR","1","Level -2","1"
"11119","Belgrave Station","-37.90913670","145.35518814","","vic:rail:BEG","1","Level 0","1"
"11120","Belgrave Station","-37.90909987","145.35513209","","vic:rail:BEG","1","Level 0","2"
"11121","Tecoma Station","-37.90809018","145.34290422","","vic:rail:TCM","1","Level 0","1"
"11122","Upwey Station","-37.90371012","145.33141254","","vic:rail:UPW","1","Level 0","1"
"11123","Upwey Station","-37.90361053","145.33138067","","vic:rail:UPW","1","Level 0","2"
"11197","Alamein Station","-37.86818601","145.07970463","","vic:rail:ALM","1","Level 0","1"
"11198","Ashburton Station","-37.86193224","145.08139014","","vic:rail:ASH","1","Level 0","1"
"11199","Burwood Station","-37.85162801","145.08061168","","vic:rail:BWD","1","Level 0","2"
"11200","Burwood Station","-37.85174400","145.08054048","","vic:rail:BWD","1","Level 0","1"
"11201","Hartwell Station","-37.84384815","145.07548359","","vic:rail:HWL","1","Level 0","2"
"11202","Hartwell Station","-37.84388325","145.07542585","","vic:rail:HWL","1","Level 0","1"
"11203","Willison Station","-37.83566968","145.07024194","","vic:rail:WSN","1","Level 0","1"
"11204","Willison Station","-37.83568036","145.07034393","","vic:rail:WSN","1","Level 0","2"
"11205","Riversdale Station","-37.83129806","145.06964002","","vic:rail:RIV","1","Level 0","1"
"11206","Riversdale Station","-37.83162291","145.06966564","","vic:rail:RIV","1","Level 0","2"
"11207","Camberwell Station","-37.82668783","145.05836453","","vic:rail:CAM","1","Level -2","1"
"11208","Camberwell Station","-37.82659756","145.05835553","","vic:rail:CAM","1","Level -2","2"
"11209","Camberwell Station","-37.82651798","145.05844851","","vic:rail:CAM","1","Level -2","3"
"11210","Parliament Station","-37.81091306","144.97309652","","vic:rail:PAR","1","Level -2","2"
"11212","Flinders Street Station","-37.81804351","144.96642624","","vic:rail:FSS","1","Level 0","1"
"11213","Flinders Street Station","-37.81814377","144.96649165","","vic:rail:FSS","1","Level 0","2"
"11214","Flinders Street Station","-37.81819840","144.96652423","","vic:rail:FSS","1","Level 0","3"
"11215","Flinders Street Station","-37.81828907","144.96655582","","vic:rail:FSS","1","Level 0","4"
"11216","Flinders Street Station","-37.81832588","144.96660025","","vic:rail:FSS","1","Level 0","5"
"11217","Flinders Street Station","-37.81843476","144.96664271","","vic:rail:FSS","1","Level 0","6"
"11218","Flinders Street Station","-37.81850740","144.96667479","","vic:rail:FSS","1","Level 0","7"
"11219","Jordanville Station","-37.87370850","145.11246265","","vic:rail:JOR","1","Level 0","2"
"11220","Frankston Station","-38.14268180","145.12604465","","vic:rail:FKN","1","Level 0","1"
"11221","Frankston Station","-38.14270218","145.12619247","","vic:rail:FKN","1","Level 0","2"
"11222","Kananook Station","-38.12171555","145.13533024","","vic:rail:KAN","1","Level 0","1"
"11223","Kananook Station","-38.12171646","145.13538725","","vic:rail:KAN","1","Level 0","2"
"11224","Seaford Station","-38.10434442","145.12816513","","vic:rail:SEA","1","Level 0","1"
"11225","Seaford Station","-38.10441830","145.12827729","","vic:rail:SEA","1","Level 0","2"
